rank,domain,is_chinese,score,tier,official,nsfw,eco_count,effort,ecosystems,names,langs
1,bilimanga.net,1,87,T1,Bilibili Comics (official),0,4,existing,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫,zh
2,ac.qq.com,1,81,T1,Tencent Comics (official),0,3,existing,legado|mihon|venera,㊣✐ 腾讯漫画  #一程|腾讯动漫|腾讯动漫（正版）|腾讯漫画📱,zh|zh-hans
3,mangadex.org,1,81,T1,MangaDex (open licensed),0,3,existing,aidoku|mihon|venera,MangaDex|multi.mangadex,af|ar|az|be|bg|bn|ca|cs|cv|da|de|el|en|eo|es|es-419|et|eu|fa|fi|fil|fr|ga|he|hi|hr|hu|id|it|ja|jv|ka|kk|ko|la|lt|mn|ms|multi|my|ne|nl|no|pl|pt|pt-br|ro|ru|sk|sq|sr|sv|ta|te|th|tr|uk|ur|uz|vi|zh|zh-hans|zh-hant
4,shonenjumpplus.com,1,81,T1,Shonen Jump+ (official),0,3,existing,aidoku|mihon|venera,Shonen Jump+|ja.shonenjumpplus|少年ジャンプ＋,ja|zh
5,iqiyi.com,1,73,T1,iQiyi Comics (official),0,2,to-build,legado|mihon,✐ ㊣爱奇艺漫画 #Haxc1107|爱奇艺叭嗒|🎨 爱奇艺漫画|🎨爱奇艺漫画 ,zh|zh-hans
6,kuaikanmanhua.com,1,73,T1,Kuaikan Comics (official),0,2,to-build,legado|mihon,快看漫画|快看漫画M|🎨 快看漫画$|🎨快看漫画,zh|zh-hans
7,webtoons.com,1,73,T1,LINE WEBTOON (official),0,2,existing,mihon|venera,LINE WEBTOON|Webtoons.com,de|en|es|fr|id|th|zh|zh-hant
8,comic-walker.com,1,63,T1,Kadokomi (official),0,1,existing,mihon,カドコミ,ja
9,dmzj.com,1,63,T1,DMZJ (Dongman Zhijia),0,1,to-build,cimoc,DongManZhiJia,zh
10,idmzj.com,1,63,T1,DMZJ (Dongman Zhijia),0,1,to-build,mangareader,dmzj,zh
11,manga.bilibili.com,1,63,T1,Bilibili Comics (official),0,1,to-build,legado,哔哩哔哩漫画 #Haxc,zh
