ecosystem,source_name,domain,language,nsfw,identifier
Kotatsu,BatoToParser,,all,,BatoToParser.kt
Kotatsu,ComickFunParser,,all,,ComickFunParser.kt
Kotatsu,ExHentaiParser,,all,,ExHentaiParser.kt
Kotatsu,HitomiLaParser,,all,,HitomiLaParser.kt
Kotatsu,HoloEarthParser,,all,,HoloEarthParser.kt
Kotatsu,ImHentai,,all,,ImHentai.kt
Kotatsu,Koharu,,all,,Koharu.kt
Kotatsu,LineWebtoonsParser,,all,,LineWebtoonsParser.kt
Kotatsu,MangaDexParser,,all,,MangaDexParser.kt
Kotatsu,MangaFireParser,,all,,MangaFireParser.kt
Kotatsu,MangaPark,,all,,MangaPark.kt
Kotatsu,MangaPlusParser,,all,,MangaPlusParser.kt
Kotatsu,MangaReaderToParser,,all,,MangaReaderToParser.kt
Kotatsu,Manhwa210,,all,,Manhwa210.kt
Kotatsu,Misskon,,all,,Misskon.kt
Kotatsu,Multporn,,all,,Multporn.kt
Kotatsu,MyReadingManga,,all,,MyReadingManga.kt
Kotatsu,NineMangaParser,,all,,NineMangaParser.kt
Kotatsu,NineNineNineHentaiParser,,all,,NineNineNineHentaiParser.kt
Kotatsu,WebtoonsParser,,all,,WebtoonsParser.kt
Kotatsu,FlixScans,,ar,,FlixScans.kt
Kotatsu,HentaMan,,ar,,HentaMan.kt
Kotatsu,MangaStorm,,ar,,MangaStorm.kt
Kotatsu,TeamXNovel,,ar,,TeamXNovel.kt
Kotatsu,AnibelParser,,be,,AnibelParser.kt
Kotatsu,AsuraScansParser,,en,,AsuraScansParser.kt
Kotatsu,BatCave,,en,,BatCave.kt
Kotatsu,BeeToon,,en,,BeeToon.kt
Kotatsu,CloneMangaParser,,en,,CloneMangaParser.kt
Kotatsu,ComicExtra,,en,,ComicExtra.kt
Kotatsu,DemonicScans,,en,,DemonicScans.kt
Kotatsu,DynastyScans,,en,,DynastyScans.kt
Kotatsu,FlameComics,,en,,FlameComics.kt
Kotatsu,FlixScansOrg,,en,,FlixScansOrg.kt
Kotatsu,Hentalk,,en,,Hentalk.kt
Kotatsu,HeyToonParser,,en,,HeyToonParser.kt
Kotatsu,KdtScans,,en,,KdtScans.kt
Kotatsu,MangaGeko,,en,,MangaGeko.kt
Kotatsu,MangaKawaiiEn,,en,,MangaKawaiiEn.kt
Kotatsu,MangaPill,,en,,MangaPill.kt
Kotatsu,MangaTownParser,,en,,MangaTownParser.kt
Kotatsu,Mangaowl,,en,,Mangaowl.kt
Kotatsu,Manhwa18Com,,en,,Manhwa18Com.kt
Kotatsu,Manhwa18Parser,,en,,Manhwa18Parser.kt
Kotatsu,ManhwasMen,,en,,ManhwasMen.kt
Kotatsu,MyComicList,,en,,MyComicList.kt
Kotatsu,Po2Scans,,en,,Po2Scans.kt
Kotatsu,Pururin,,en,,Pururin.kt
Kotatsu,ReadOnePiece,,en,,ReadOnePiece.kt
Kotatsu,RoliaScan,,en,,RoliaScan.kt
Kotatsu,VioletScans,,en,,VioletScans.kt
Kotatsu,VyManga,,en,,VyManga.kt
Kotatsu,WeebCentral,,en,,WeebCentral.kt
Kotatsu,DragonTranslationParser,,es,,DragonTranslationParser.kt
Kotatsu,InMangaParser,,es,,InMangaParser.kt
Kotatsu,TempleScanEsp,,es,,TempleScanEsp.kt
Kotatsu,TuMangaOnlineParser,,es,,TuMangaOnlineParser.kt
Kotatsu,AnimeSama,,fr,,AnimeSama.kt
Kotatsu,BentomangaParser,,fr,,BentomangaParser.kt
Kotatsu,FuryoSociety,,fr,,FuryoSociety.kt
Kotatsu,InovaScanManga,,fr,,InovaScanManga.kt
Kotatsu,LegacyScansParser,,fr,,LegacyScansParser.kt
Kotatsu,LireScan,,fr,,LireScan.kt
Kotatsu,LugnicaScans,,fr,,LugnicaScans.kt
Kotatsu,MangaKawaii,,fr,,MangaKawaii.kt
Kotatsu,MangaMana,,fr,,MangaMana.kt
Kotatsu,MangaMoins,,fr,,MangaMoins.kt
Kotatsu,PhenixscansParser,,fr,,PhenixscansParser.kt
Kotatsu,PoseidonScans,,fr,,PoseidonScans.kt
Kotatsu,ScansMangasMe,,fr,,ScansMangasMe.kt
Kotatsu,ScantradUnion,,fr,,ScantradUnion.kt
Kotatsu,DoujinDesuParser,,id,,DoujinDesuParser.kt
Kotatsu,HentaiCrot,,id,,HentaiCrot.kt
Kotatsu,Ikiru,,id,,Ikiru.kt
Kotatsu,Kumapage,,id,,Kumapage.kt
Kotatsu,PixHentai,,id,,PixHentai.kt
Kotatsu,Shinigami,,id,,Shinigami.kt
Kotatsu,NicovideoSeigaParser,,ja,,NicovideoSeigaParser.kt
Kotatsu,BrMangas,,pt,,BrMangas.kt
Kotatsu,LerManga,,pt,,LerManga.kt
Kotatsu,LerMangaOnline,,pt,,LerMangaOnline.kt
Kotatsu,LuratoonScansParser,,pt,,LuratoonScansParser.kt
Kotatsu,MangaOnline,,pt,,MangaOnline.kt
Kotatsu,MediocreToons,,pt,,MediocreToons.kt
Kotatsu,MuitoHentai,,pt,,MuitoHentai.kt
Kotatsu,OnePieceEx,,pt,,OnePieceEx.kt
Kotatsu,SussyScan,,pt,,SussyScan.kt
Kotatsu,YugenMangas,,pt,,YugenMangas.kt
Kotatsu,AComics,,ru,,AComics.kt
Kotatsu,ComXParser,,ru,,ComXParser.kt
Kotatsu,DesuMeParser,,ru,,DesuMeParser.kt
Kotatsu,MangaWtfParser,,ru,,MangaWtfParser.kt
Kotatsu,NudeMoonParser,,ru,,NudeMoonParser.kt
Kotatsu,RemangaParser,,ru,,RemangaParser.kt
Kotatsu,WaMangaParser,,ru,,WaMangaParser.kt
Kotatsu,ZenMangaParser,,ru,,ZenMangaParser.kt
Kotatsu,ElderManga,,tr,,ElderManga.kt
Kotatsu,EleceedTurkiye,,tr,,EleceedTurkiye.kt
Kotatsu,MangaAy,,tr,,MangaAy.kt
Kotatsu,SadScans,,tr,,SadScans.kt
Kotatsu,TenshiManga,,tr,,TenshiManga.kt
Kotatsu,TrWebtoon,,tr,,TrWebtoon.kt
Kotatsu,UzayManga,,tr,,UzayManga.kt
Kotatsu,HentaiUkrParser,,uk,,HentaiUkrParser.kt
Kotatsu,HoneyMangaParser,,uk,,HoneyMangaParser.kt
Kotatsu,MangaInUaParser,,uk,,MangaInUaParser.kt
Kotatsu,BlogTruyenParser,,vi,,BlogTruyenParser.kt
Kotatsu,BlogTruyenVN,,vi,,BlogTruyenVN.kt
Kotatsu,CMangaParser,,vi,,CMangaParser.kt
Kotatsu,CuuTruyenParser,,vi,,CuuTruyenParser.kt
Kotatsu,DamCoNuong,,vi,,DamCoNuong.kt
Kotatsu,DuaLeoTruyen,,vi,,DuaLeoTruyen.kt
Kotatsu,GocTruyenTranh,,vi,,GocTruyenTranh.kt
Kotatsu,GocTruyenTranhVui,,vi,,GocTruyenTranhVui.kt
Kotatsu,HangTruyen,,vi,,HangTruyen.kt
Kotatsu,Hentai18VN,,vi,,Hentai18VN.kt
Kotatsu,HentaiVNParser,,vi,,HentaiVNParser.kt
Kotatsu,HentaiVnBuzz,,vi,,HentaiVnBuzz.kt
Kotatsu,HentaiVnSU,,vi,,HentaiVnSU.kt
Kotatsu,KuroNeko,,vi,,KuroNeko.kt
Kotatsu,LangGeekParser,,vi,,LangGeekParser.kt
Kotatsu,LxManga,,vi,,LxManga.kt
Kotatsu,MimiHentai,,vi,,MimiHentai.kt
Kotatsu,NhentaiWorld,,vi,,NhentaiWorld.kt
Kotatsu,OTruyenParser,,vi,,OTruyenParser.kt
Kotatsu,SayHentai,,vi,,SayHentai.kt
Kotatsu,TruyenGG,,vi,,TruyenGG.kt
Kotatsu,TruyenHentai18,,vi,,TruyenHentai18.kt
Kotatsu,TruyenHentaiVN,,vi,,TruyenHentaiVN.kt
Kotatsu,TruyenQQ,,vi,,TruyenQQ.kt
Kotatsu,TruyenTranh3Q,,vi,,TruyenTranh3Q.kt
Kotatsu,VcomycsParser,,vi,,VcomycsParser.kt
Kotatsu,YuriGardenParser,,vi,,YuriGardenParser.kt
Kotatsu,YurinekoParser,,vi,,YurinekoParser.kt
Kotatsu,Baozimh,,zh,,Baozimh.kt
Kotatsu,KomiicParser,,zh,,KomiicParser.kt
Kotatsu,ManhuaguiParser,,zh,,ManhuaguiParser.kt
