ecosystem,source_name,domain,language,nsfw,identifier
MangaReader,bzm,baozimhcn.com,zh,,bzm
MangaReader,copy,mangacopy.com,zh,,copy
MangaReader,dmzj,idmzj.com,zh,,dmzj
MangaReader,happy,happymh.com,zh,,happy
MangaReader,jmc,18comic.vip,zh,,jmc
MangaReader,kl,klmanga.net,zh,,kl
MangaReader,mbz,mangabz.com,zh,,mbz
MangaReader,mhdb,manhuadb.com,zh,,mhdb
MangaReader,mhg,mhgui.com,zh,,mhg
MangaReader,mhgm,manhuagui.com,zh,,mhgm
MangaReader,mhm,maofly.com,zh,,mhm
MangaReader,nh,nhentai.net,zh,,nh
MangaReader,pica,picacomic.com,zh,,pica
MangaReader,rm5,rouman5.com,zh,,rm5
