domain,ecosystems,names,eco_count,record_count
01.apkomik.com,mihon,APKOMIK,1,1
01.komiku.asia,aidoku|mihon,Komiku.com|id.komikucom,2,2
01.pramramadhan.my.id,mihon,Pramramadhan,1,1
02.hwago.xyz,mihon,Hwago,1,1
02.kaguya.pro,mihon,Kaguya,1,1
02.manhwaland.land,mihon,ManhwaLand.mom,1,1
02.ngomik.cc,mihon,Ngomik (unoriginal),1,1
03.lumosgg.com,mihon,LumosKomik,1,1
04.cosmicscans.to,mihon,CosmicScans,1,1
08.ikiru.wtf,mihon,Ikiru,1,1
1.seimanga.me,mihon,SeiManga,1,1
1.selfmanga.live,mihon,SelfManga,1,1
100fanwo.com,cimoc,MH360,1,1
11.shinigami.asia,mihon,Shinigami,1,1
11toon.com,mihon,11toon,1,1
127.0.0.1,mihon,Bakkin Self-hosted|FoolSlide Customizable|Komga|Komga (2)|Komga (3)|LANraragi (1)|LANraragi (2)|Mango,1,8
18comic.vip,mangareader|mihon,jmc|禁漫天堂,2,2
18mh.org,mihon,18漫画,1,1
18porncomic.com,mihon,18 Porn Comic,1,1
1kkk.com,venera,极速漫画,1,1
1manga.co,mihon,1Manga.co,1,1
2.mintmanga.one,mihon,MintManga,1,1
20.allhen.online,mihon,AllHentai,1,1
2026copy.com,cimoc,CopyManHua,1,1
2cycomic.com,venera,次元漫画,1,1
2tencb.pro,mihon,CBHentai,1,1
311s.com,mihon,漫画社,1,1
3600000.xyz,mihon,3600000 Beauty,1,1
36mh.org,cimoc,QIMIAO,1,1
3asq.online,aidoku|mihon,ar.aasq|مانجا العاشق,2,2
3hentai.net,mihon,3Hentai,1,29
3xyaoi.com,mihon,XXX Yaoi,1,1
4399manhua.com,venera,4399漫画网,1,2
4khd.com,mihon,4KHD,1,1
51manga.com,venera,51漫画,1,2
77mh.nl,legado,🎨 新新漫画,1,2
77mh.xyz,legado,🎨新新漫画-xyz,1,2
7stary.com,cimoc,DUMH|DuManHua,1,2
8comic.com,mihon,無限動漫,1,1
8jj.com,legado,✐ 八极漫画 #Haxc|八极漫画,1,4
90mh.org,cimoc,MANHUA90,1,1
92mh.com,mihon,92漫画,1,1
9comic.cn,legado,好看漫画,1,5
9grid.cc,mihon,NineGrid,1,1
9hentai.so,mihon,NineHentai,1,1
a.zazaza.me,mihon,ReadManga,1,1
ac.qq.com,legado|mihon|venera,㊣✐ 腾讯漫画  #一程|腾讯动漫|腾讯动漫（正版）|腾讯漫画📱,3,7
acervoeremita.com,mihon,AcervoEremita,1,1
acervohentai.com,mihon,Acervo Hentai,1,1
acomics.ru,mihon,AComics,1,1
aedexnox.akan01.com,mihon,Temple Scan,1,1
afroditscans.com,mihon,Afrodit Scans,1,1
agcscanlation.it,mihon,Anime GDR Club,1,1
ahottie.top,mihon,AHottie,1,1
akaicomic.org,mihon,Akai Comic,1,1
akaya.io,mihon,AKAYA,1,1
akazascans.org,mihon,Akaza Scans,1,1
akuma.moe,mihon,Akuma,1,27
alandal.com,mihon,Alandal,1,1
allporncomic.com,mihon,AllPornComic,1,1
allporncomic.io,mihon,AllPornComic.io,1,1
allporncomics.co,mihon,AllPornComics.co,1,1
alpha-manga.com,mihon,Alpha Manga,1,1
alphapolis.co.jp,mihon,Alphapolis,1,1
alucardscans.com,mihon,Alucard Scans,1,1
amangaplanet.com.tr,mihon,Amanga Planet,1,1
amcomic.com,legado,一个漫画,1,2
aniargos.com,mihon,Argos Comics,1,1
anikiga.com,mihon,Anikiga,1,1
anime-sama.to,mihon,AnimeSama,1,1
animexnovel.com,mihon,AnimeXNovel,1,1
anisascans.in,mihon,Anisa Scans,1,1
anyonemanga.com,mihon,Anyone Manga,1,1
anzmanga25.com,mihon,AnzManga,1,1
apcomics.org,mihon,AP Comics,1,1
apenasmaisumyaoi.com,mihon,Amuy,1,1
apenasuma-fa.blogspot.com,mihon,Apenas Uma Fã,1,1
api.acg.gd,legado,✐ 🔥亲亲漫画 #Haxc|🎨亲亲漫画 #Haxc🔞|🎨亲亲漫画🔞,1,6
api.creative-comic.tw,venera,CCC追漫台,1,5
api.ilikemanga.com,legado,🎨追追漫画₁🅰,1,2
api.iqhmh.com,legado,✐ 趣话漫画🅰💰 #Haxc|㊣✐ 趣话漫画🅰 #Haxc|🎨 趣话漫画,1,6
api.noyteam.online,mihon,NoyAcg,1,1
apifans.dushimh.com,legado,粉丝漫画,1,3
apollcomics.es,mihon,ApollComics,1,1
app-api.pixiv.net,venera,Pixiv,1,1
aquareader.org,aidoku|mihon,Aqua Manga|en.aquamanga,2,2
ar.kenmanga.com,mihon,أريا مانجا,1,1
arabhentai.net,mihon,هنتاي العرب - نت,1,1
arabmanhwa.com,mihon,ArabManhwa,1,1
arabshentai.com,mihon,هنتاي العرب,1,1
arabtoons.net,mihon,عرب تونز,1,1
aralosbd.fr,mihon,AralosBD,1,1
araznovel.com,mihon,ArazNovel,1,1
arbxcomix.com,mihon,ArbxComix,1,1
arc-relight.com,mihon,Arc-Relight,1,1
archiviumbar.com,mihon,BarManga,1,1
arcomixverse.blogspot.com,mihon,Comic Verse,1,1
arcurafansub.com,mihon,Arcura Fansub,1,1
arenascan.com,mihon,Arena Scans,1,1
argoscomics.online,mihon,Argos Scan,1,1
ariatoon.com,mihon,AriaToon,1,1
arigl.xyz,mihon,Ariverse,1,1
arlas.online,mihon,Aarlas,1,1
arthurscan.xyz,mihon,Arthur Scan,1,1
artlapsa.com,mihon,Art Lapsa,1,1
asacomi.jp,mihon,Asacomi,1,1
asialotuss.com,mihon,Asia Lotus,1,1
asiatoon.net,mihon,AsiaToon,1,1
asmhentai.com,mihon,AsmHentai,1,4
asmotoon.com,mihon,Asmodeus Scans,1,1
assortedscans.com,mihon,Assorted Scans,1,1
astral-manga.fr,mihon,AstralManga,1,1
astralscans.top,mihon,Astral Scans,1,1
astramanga.org,mihon,AstraManga,1,1
asurascans.com,aidoku|mihon,Asura Scans|en.asurascans,2,2
asurascans.com.tr,mihon,Asura Scans TR,1,1
athreascans.com,aidoku|mihon,Athrea Scans|en.athreascans,2,2
atsu.moe,mihon,Atsumaru,1,1
azorafly.com,mihon,Azora,1,1
azuretoons.com,mihon,Azuretoons,1,1
bacakomik.my,mihon,BacaKomik,1,1
bakai.org,mihon,Bakai,1,1
bakamh.com,aidoku|mihon,zh.bakamh|巴卡漫画,2,2
bakkin.moe,mihon,Bakkin,1,1
baobua.net,mihon,BaoBua,1,1
baozimh.com,aidoku|legado|mihon,zh.baozimanhua|包子漫画,3,4
baozimh.one,cimoc,BAOZIV2|HaoManSix,1,2
baozimh.org,mihon,GoDa漫画,1,1
baozimhcn.com,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm,2,3
batcave.biz,aidoku|mihon,BatCave|en.batcave,2,2
bato1.com,mihon,Bbato,1,1
bbboy.cc,cimoc,BOLEMH,1,1
bdido.com,legado,1359漫画,1,2
begatranslation.com,mihon,Bega Translation,1,1
bestporncomix.com,mihon,PornComix,1,1
beta.kumopoi.com,mihon,KumoPoi,1,1
beta.taimumangas.com,mihon,Taimu Mangas,1,1
beta.toonbr.com,mihon,ToonBr,1,1
bibibi-comic.com,mihon,Bibibi Comic,1,1
bibliopanda.com,mihon,Biblio Panda,1,1
bigcomics.jp,mihon,Big Comics,1,1
bigsolo.org,aidoku|mihon,BigSolo|fr.bigsolo,2,2
bilimanga.net,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫,4,5
biqu8.xyz,cimoc,BIQUGE,1,1
blackoutcomics.com,mihon,Blackout Comics,1,1
blacktoon.me,mihon,블랙툰,1,1
bladetoons.com,mihon,Bladetoons,1,1
blastwave-comic.com,mihon,Gone with the Blastwave,1,1
bloomscans.com,mihon,Bloom Scans,1,1
blossom-scans.com,mihon,Blossom Scans,1,1
bluesolo.org,mihon,Blue Solo,1,1
bnman.net,cimoc,BAINIANMH,1,1
bokugents.com,mihon,BokugenTranslation,1,1
book.dmm.co.jp,mihon,FANZA,1,1
book.dmm.com,mihon,DMM,1,1
bookwalker.com,mihon,BookWalker,1,1
bookwalker.jp,mihon,BookWalker Japan,1,1
boratscans.com,mihon,Borat Scans,1,1
boylove.cc,mihon,香香腐宅,1,1
br.comikey.com,mihon,Comikey Brasil,1,1
br.niadd.com,mihon,Niadd,1,1
br.novelcool.com,mihon,NovelCool,1,1
brainrotcomics.com,mihon,BrainRotComics,1,1
brasilhentai.com,mihon,Brasil Hentai,1,1
bryaoi.com,mihon,BR Yaoi,1,1
bud.iqiyi.com,cimoc,IQIYI,1,1
bukamh.com,venera,布卡漫画,1,1
bunmanga.com,mihon,Bun Manga,1,1
buondua.com,mihon,Buon Dua,1,1
bwhanman.com,legado,🌵背窝韩漫🌵,1,2
bymichiby.com,mihon,Bymichi Scan,1,1
cafecomyaoi.com.br,mihon,Café com Yaoi,1,1
capibaratraductor.com,mihon,CapibaraTraductor,1,1
capitoons.com,mihon,Capitoons,1,1
caprazmanga.com,mihon,ÇaprazManga,1,1
cartoon18.com,mihon,Cartoon18,1,1
cat-300.com,mihon,Cat300,1,1
catharsisworld.dig-it.info,aidoku|mihon,Catharsis World|es.catharsisworld,2,2
catzaa.net,mihon,Catzaa,1,1
ccc.vinnieveritas.com,mihon,Vinnie Veritas - CCC,1,2
cdn-msp.jmapinodeudzn.net,venera,禁漫天堂,1,3
celestialmoonscan.es,mihon,Celestial Moon,1,1
ch1.isekaikomik.site,mihon,IsekaiKomik,1,1
championcross.jp,mihon,Champion Cross,1,1
chaostrad.fr,mihon,ChaosTrad,1,1
chikari.moe,aidoku,en.chikari,1,1
chochox.com,mihon,ChoChoX,1,1
chuixue.net,cimoc,CHUIXUEMH,1,1
ciao.shogakukan.co.jp,mihon,Ciao Plus,1,1
clowncorps.net,mihon,Clown Corps,1,1
cmangax17.com,aidoku,vi.cmanga,1,1
cmangax18.com,mihon,CManga,1,1
cmanhua.com,mihon,CManhua,1,1
cmoa.jp,mihon,C'moA,1,1
cocomic.co,mihon,Cocomic,1,1
codex.readkisho.me,mihon,Codex Zero,1,1
colamanga.com,cimoc,CoCoManHua,1,1
collectedcurios.com,mihon,Collected Curios,1,1
colorcitoscan.com,mihon,Colorcito Scan,1,1
colorizedmangas.com,mihon,Colorized Mangas,1,1
comic-action.com,aidoku,ja.comicaction,1,1
comic-boost.com,mihon,Comic Boost,1,1
comic-days.com,aidoku|mihon,Comic Days|ja.comicdays,2,2
comic-earthstar.com,mihon,Comic Earth Star,1,1
comic-fuz.com,mihon,COMIC FUZ,1,1
comic-gardo.com,mihon,Comic Gardo,1,1
comic-growl.com,mihon,Comic Growl,1,1
comic-room-base.com,mihon,Comic Room Base,1,1
comic-ryu.jp,mihon,Comic Ryu,1,1
comic-walker.com,mihon,カドコミ,1,1
comic-y-ours.com,mihon,Comic Y-OURs,1,1
comic-zenon.com,mihon,Zenon,1,1
comic.bh3.com,mihon,《崩坏3》IP站,1,1
comic.cx,mihon,Comic CX,1,1
comic.hypergryph.com,mihon,泰拉记事社,1,1
comic.iowl.jp,mihon,Comic Festa,1,1
comic.j-nbooks.jp,mihon,J-N Books,1,1
comic.k-manga.jp,mihon,Manga Kingdom,1,1
comic.mkzhan.com,cimoc|legado,MKZHAN|漫客栈|🎨 漫客栈|🎨 漫客栈🅰 |🎨 漫客栈🅰 #Haxc1107|🎨漫客栈,2,11
comic.naver.com,mihon,Naver Webtoon|Naver Webtoon Best Challenge|Naver Webtoon Challenge,1,3
comic.pixiv.net,mihon,Pixivコミック,1,1
comicasura.net,mihon,Comic Asura,1,1
comicaurora.com,mihon,Aurora,1,1
comicborder.com,mihon,Comic Border,1,1
comicfury.com,mihon,Comic Fury|Comic Fury (No Text),1,14
comichubfree.com,mihon,ComicHubFree,1,1
comick.art,venera,comick,1,5
comick.live,mihon,Comick (Unoriginal),1,1
comickfan.com,mihon,ComicK Fanmade,1,1
comicland.org,mihon,ComicLand,1,1
comicnettai.com,mihon,Comic Nettai,1,1
comico.jp,mihon,コミコ,1,1
comicpash.jp,mihon,Comic Pash,1,1
comicride.jp,mihon,Comic Ride,1,1
comics.8muses.com,mihon,8Muses,1,1
comics.inkr.com,mihon,INKR,1,1
comics.manga-bang.com,mihon,MangaBang Comics,1,1
comicsvalley.com,mihon,Comics Valley,1,1
comikey.com,mihon,Comikey,1,4
comirela.com,mihon,Comirela,1,1
comivex.com,mihon,Comivex,1,1
comix.to,aidoku|mihon,Comix|en.comix,2,2
comixtopia.in.ua,mihon,ComixTopia,1,1
commitstrip.com,mihon,Commit Strip,1,2
coolmic.me,mihon,Coolmic,1,1
coomer.st,mihon,Coomer,1,1
copymanga.com,legado,🎨 拷贝漫画➠移动不可用,1,2
corocoro.jp,mihon,Corocoro Online,1,1
cosplaytele.com,mihon|venera,CosplayTele,2,2
covendasbruxonas.com,mihon,Coven Scan,1,1
creative-comic.tw,mihon,CCC追漫台,1,1
crotpedia.net,mihon,CrotPedia,1,1
cubari.moe,mihon,Cubari,1,3
cucumbermanga.com,mihon,Cucumber Manga,1,1
culturedworks.com,mihon,CulturedWorks,1,1
cutiecomics.com,mihon,Cutie Comics,1,1
cuutruyen.moe,mihon,CuuTruyen (unoriginal),1,1
cuutruyen.net,mihon,CuuTruyen,1,1
cycomi.com,mihon,CyComi,1,1
d9zfb53b.lstool.xyz,cimoc,GUOGUOMH,1,1
dailysuka.com,mihon,DailySuka ,1,1
damconuong.uno,mihon,DamCoNuong,1,1
danbooru.donmai.us,mihon,Danbooru,1,1
danke.moe,aidoku|mihon,Danke fürs Lesen|en.dankefurslesen,2,2
daomeoden.net,mihon,DaoMeoDen,1,1
darklegacycomics.com,mihon,Dark Legacy Comics,1,1
darthsanddroids.net,mihon,Darths & Droids,1,1
dashuhuwai.com,legado,大树漫画,1,2
dashumanhua.com,cimoc,DASHUMANHUA,1,1
dassouscan.com,mihon,Dassou Scan,1,1
datgarscanlation.blogspot.com,mihon,Dat-Gar Scan,1,1
dbook.docomo.ne.jp,mihon,Docomo,1,1
ddt.hastateam.com,mihon,DDT Team,1,1
de.niadd.com,mihon,Niadd,1,1
de.novelcool.com,mihon,NovelCool,1,1
deatte5.com,mihon,Battle In 5 Seconds After Meeting,1,1
demo.kavita.org,venera,Kavita,1,3
demo.komga.org,venera,Komga,1,3
demonicscans.org,aidoku|mihon,Manga Demon|en.mangademon,2,2
despair-manga.net,mihon,Despair Manga,1,1
desu.uno,mihon,Desu,1,1
deviantart.com,mihon,DeviantArt,1,1
dflow.alwaysdata.net,mihon,DFlowScans,1,1
dgmanga.app,mihon,DGManga,1,1
dgtread.com,mihon,DigitalTeam,1,1
diamondfansub.com,mihon,DiamondFansub,1,1
digitalcomicmuseum.com,mihon,Digital Comic Museum,1,1
dilar.tube,mihon,Dilar,1,1
dilib.vn,aidoku|mihon,Dilib|vi.dilib,2,2
divascans.org,mihon,Diva Scans,1,1
dm5.com,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋,4,5
dmzj.com,cimoc,DongManZhiJia,1,1
doctruyen3qhub.vip,mihon,DocTruyen3Q,1,1
dojing.net,mihon,Dojing.net,1,1
dokiraw.click,mihon,Dokiraw,1,1
dokusho-ojikan.jp,mihon,Ameba Manga,1,1
dom4lfansub.online,mihon,Domal Fansub,1,1
dongman.la,venera,动漫啦,1,2
dongmanmanhua.cn,mihon|venera,Dongman Manhua|咚漫,2,3
doodmanga.com,mihon,Doodmanga,1,1
doujin-lc.net,mihon,Doujin-Lc,1,1
doujin.desu.xxx,mihon,Doujindesu,1,1
doujin.io,mihon,Doujin.io - J18,1,1
doujindistrict.com,mihon,HM2D,1,1
doujinhentai.net,mihon,DoujinHentai,1,1
doujinku.org,mihon,Doujinku,1,1
doujinmoon.com,mihon,Doujin Moon,1,1
doujins.com,mihon,Doujins,1,1
doujinshell.net,mihon,DoujinsHell,1,1
doujinza.com,mihon,DoujinZa,1,1
doujiva.com,mihon,Doujiva,1,1
dragonball-multiverse.com,mihon,Dragon Ball Multiverse|Dragon Ball Multiverse Parody,1,37
dragontea.ink,mihon,DragonTea,1,1
dragontranslation.org,mihon,DragonTranslation.org,1,1
drakecomic.net,aidoku|mihon,Drake Scans|en.drakescans,2,2
dreamteams.space,mihon,DreamTeams Scans,1,1
drecomi-plus.jp,mihon,DreComi+,1,1
dresdencodak.com,mihon,Dark Science,1,1
dualeotruyenwk.com,mihon,Dưa Leo Truyện,1,1
dumanwu.org,cimoc,DUMANWUORG,1,1
dumanwu1.com,cimoc|mihon,DUMANWU|读漫屋,2,2
duskoryvile.com,mihon,Duskoryvile,1,1
duskscans.com,mihon,Dusk Scans,1,1
dynasty-scans.com,aidoku|mihon,Dynasty Scans|en.dynastyscans,2,2
e-hentai.org,venera,ehentai,1,3
e621.net,mihon,e621,1,1
ebook.tongli.com.tw,mihon,東立,1,1
ebookjapan.yahoo.co.jp,mihon,eBookJapan,1,1
ebookstore.sony.jp,mihon,Reader Store,1,1
ecchi-doujin.com,mihon,Ecchi-Doujin,1,1
eggporncomics.com,mihon,Eggporncomics,1,1
egotoons.com,mihon,Ego Toons,1,1
egscomics.com,mihon,El Goonish Shive,1,1
elan.school,mihon,Elan School,1,1
eldermanga.com,mihon,Elder Manga,1,1
elftoon.com,aidoku|mihon,Elf Toon|en.elftoon,2,2
elitebabes.com,mihon,Elite Babes,1,1
emaqi.com,mihon,emaqi,1,1
empreguetes.wtf,mihon,Maid Scan,1,1
en-hijala.com,mihon,Hijala Scans,1,1
en-thunderscans.com,mihon,Thunder Scans,1,1
en.girlstop.info,mihon,GirlsTop,1,1
en.xchina.co,mihon,小黄书,1,1
enchiladascan.github.io,mihon,EnchiladaScan,1,1
epsilonscan.to,mihon,Epsilon Scan,1,1
epsilonsoft.to,mihon,Soft Epsilon Scan,1,1
erisscans.com,mihon,Eris Scans,1,1
ero18x.com,mihon,Ero18x,1,1
erofus.com,mihon,Erofus,1,1
erosect.xyz,mihon,EroSect,1,1
es.mi2manga.com,mihon,Es.Mi2Manga,1,1
es.niadd.com,mihon,Niadd,1,1
es.novelcool.com,mihon,NovelCool,1,1
es.xchina.co,mihon,小黄书,1,1
es.xkcd.com,mihon,xkcd,1,1
eshadow.net,mihon,EShadow,1,1
eskimangalar.com,mihon,Eski Mangalar,1,1
eternalmangas.org,aidoku|mihon,EternalMangas|es.eternalmangas,2,2
euphoriascan.com,mihon,Euphoria Scan,1,1
evascans.net,mihon,Eva Scans,1,1
everia.club,mihon,Everia.club,1,1
everiaclub.com,mihon,EveriaClub (unoriginal),1,1
evil-manga.eu,mihon,Evil production,1,1
exhentai.net.br,mihon,ExHentai.net.br,1,1
existentialcomics.com,mihon,Existential Comics,1,1
explosm.net,mihon,Cyanide & Happiness,1,1
ezmanga.org,aidoku|mihon,EZmanga|en.ezmanga,2,2
fairyscans.org,mihon,Fairy Scans,1,1
falcoscan.net,mihon,Falco Scan,1,1
fanfox.net,mihon,MangaFox,1,1
fastscan.org,mihon,FastScan,1,1
