ecosystem,source_name,domain,language,nsfw,identifier
Venera,拷贝漫画,marketing.aiacgn.com,zh,,copy_manga
Venera,拷贝漫画(多账号),marketing.aiacgn.com,zh,,copy_manga
Venera,Komiic,komiic.com,zh,,Komiic
Venera,包子漫画,static-tw.baozimh.com,zh,,baozi
Venera,Picacg,picaapi.picacomic.com,zh,,picacg
Venera,nhentai,nhentai.net,zh,,nhentai
Venera,紳士漫畫,wn01.link,zh,,wnacg
Venera,ehentai,e-hentai.org,zh,,ehentai
Venera,禁漫天堂,cdn-msp.jmapinodeudzn.net,zh,,jm
Venera,MangaDex,mangadex.org,zh,,manga_dex
Venera,爱看漫,ikmmh.com,zh,,ikmmh
Venera,少年ジャンプ＋,shonenjumpplus.com,zh,,shonen_jump_plus
Venera,hitomi.la,hitomi.la,zh,,hitomi
Venera,comick,comick.art,zh,,comick
Venera,优酷漫画,ykmh.net,zh,,ykmh
Venera,再漫画,v4api.zaimanhua.com,zh,,zaimanhua
Venera,漫画柜,manhuagui.com,zh,,ManHuaGui
Venera,漫蛙吧,mwuu.cc,zh,,manwaba
Venera,Lanraragi,lrr.tvc-16.science,zh,,lanraragi
Venera,Komga,demo.komga.org,zh,,komga
Venera,カドコミ,mobileapp.comic-walker.com,zh,,comic_walker
Venera,漫画1234,gmh1234.wszwhg.net,zh,,mh1234
Venera,CCC追漫台,api.creative-comic.tw,zh,,ccc
Venera,GoDa漫画,,zh,,goda
Venera,18漫画,,zh,,mh18
Venera,漫小肆,mxshm.top,zh,,mxs
Venera,漫画人,manhuaren.com,zh,,manhuaren
Venera,H-Comic,h-comic.com,zh,,hcomic
Venera,jcomic.net,jcomic.net,zh,,jcomic
Venera,热辣漫画,manga2026.com,zh,,hot_manga
Venera,Kavita,demo.kavita.org,zh,,kavita
Venera,嗨皮漫画,happymh.com,zh,,happy
Venera,MYCOMIC,mycomic.com,zh,,mycomic
Venera,百合会,yamibo.com,zh,,baihehui
Venera,包子漫画,static-tw.baozimh.com,zh,,baozi
Venera,嗶哩漫畫,bilimanga.net,zh,,bilimanga
Venera,CCC追漫台,api.creative-comic.tw,zh,,ccc
Venera,comick,comick.art,zh,,comick
Venera,カドコミ,mobileapp.comic-walker.com,zh,,comic_walker
Venera,拷贝漫画,marketing.aiacgn.com,zh,,copy_manga
Venera,动漫屋,dm5.com,zh,,dm5
Venera,咚漫,dongmanmanhua.cn,zh,,dongmanmanhua
Venera,动漫啦,dongman.la,zh,,dongman_la
Venera,飞翔漫画,ffppt.com,zh,,ffppt
Venera,古风漫画,gfmh.app,zh,,GfmhApp
Venera,GoDa漫画,,zh,,goda
Venera,瓜子漫画,guazimanhua.com,zh,,guazimanhua
Venera,嬉皮漫畫,hipmh.com,zh,,hipmh
Venera,爱看漫,ikmmh.com,zh,,ikmmh_v2
Venera,Komiic,komiic.cc,zh,,Komiic
Venera,来漫画（分流）,laimanhua88.com,zh,,laimanhua_split
Venera,51漫画,51manga.com,zh,,manga51
Venera,MangaDex,mangadex.org,zh,,manga_dex
Venera,漫画柜,manhuagui.com,zh,,ManHuaGui
Venera,漫画人,manhuaren.com,zh,,manhuaren
Venera,香蕉漫画,manhuauo.com,zh,,manhuauo_banana_v2
Venera,漫蛙吧,manwali.cc,zh,,manwaba
Venera,漫网,manwang.net,zh,,manwang
Venera,4399漫画网,4399manhua.com,zh,,mh4399
Venera,MOJOIN,mojoin.com,zh,,mojoin_v2
Venera,MYCOMIC,mycomic.com,zh,,mycomic
Venera,NoyManga,noymanga.com,zh,,noymanga
Venera,Rawkuma,rawkuma.net,zh,,rawkuma
Venera,如漫画,rumanhua2.com,zh,,rumanhua_fixed_v15
Venera,SF漫画,manhua.sfacg.com,zh,,sfacg_manhua
Venera,少年ジャンプ＋,shonenjumpplus.com,zh,,shonen_jump_plus
Venera,腾讯动漫（正版）,ac.qq.com,zh,,qq_comic_official_v1
Venera,图库漫画,tuku.cc,zh,,tuku_cc
Venera,W漫画,wmanhua.com,zh,,wmanhua
Venera,LINE WEBTOON,webtoons.com,zh,,webtoons_zh_hant
Venera,优酷漫画 (修复版),ykmh.net,zh,,ykmh
Venera,再漫画,v4api.zaimanhua.com,zh,,zaimanhua
Venera,zero搬运网,zerobyw.github.io,zh,,zerobyw33
Venera,瓜子漫画,guazimanhua.com,zh,,guazimanhua
Venera,百合会,yamibo.com,zh,,baihehui
Venera,香蕉漫画,manhuauo.com,zh,,banana
Venera,动漫啦,dongman.la,zh,,dongman_la
