rank,domain,score,tier,official,nsfw,eco_count,ecosystems,names,langs,effort
1,bilimanga.net,87,T1,哔哩漫画（正版）,0,4,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫,zh,已有实现
2,ac.qq.com,81,T1,腾讯动漫（正版）,0,3,legado|mihon|venera,㊣✐ 腾讯漫画  #一程|腾讯动漫|腾讯动漫（正版）|腾讯漫画📱,zh|zh-hans,已有实现
3,mangadex.org,81,T1,MangaDex（开放授权）,0,3,aidoku|mihon|venera,MangaDex|multi.mangadex,af|ar|az|be|bg|bn|ca|cs|cv|da|de|el|en|eo|es|es-419|et|eu|fa|fi|fil|fr|ga|he|hi|hr|hu|id|it|ja|jv|ka|kk|ko|la|lt|mn|ms|multi|my|ne|nl|no|pl|pt|pt-br|ro|ru|sk|sq|sr|sv|ta|te|th|tr|uk|ur|uz|vi|zh|zh-hans|zh-hant,已有实现
4,shonenjumpplus.com,81,T1,少年Jump+（正版）,0,3,aidoku|mihon|venera,Shonen Jump+|ja.shonenjumpplus|少年ジャンプ＋,ja|zh,已有实现
5,iqiyi.com,73,T1,爱奇艺漫画（正版）,0,2,legado|mihon,✐ ㊣爱奇艺漫画 #Haxc1107|爱奇艺叭嗒|🎨 爱奇艺漫画|🎨爱奇艺漫画 ,zh|zh-hans,需新写
6,kuaikanmanhua.com,73,T1,快看漫画（正版）,0,2,legado|mihon,快看漫画|快看漫画M|🎨 快看漫画$|🎨快看漫画,zh|zh-hans,需新写
7,webtoons.com,73,T1,LINE WEBTOON（正版）,0,2,mihon|venera,LINE WEBTOON|Webtoons.com,de|en|es|fr|id|th|zh|zh-hant,已有实现
8,comic-walker.com,63,T1,カドコミ（正版）,0,1,mihon,カドコミ,ja,已有实现
9,dmzj.com,63,T1,动漫之家,0,1,cimoc,DongManZhiJia,zh,需新写
10,idmzj.com,63,T1,动漫之家,0,1,mangareader,dmzj,zh,需新写
11,manga.bilibili.com,63,T1,哔哩漫画（正版）,0,1,legado,哔哩哔哩漫画 #Haxc,zh,需新写
12,mangamillion.shueisha.co.jp,63,T1,Manga Million（正版）,0,1,mihon,Manga Million,af|am|ar|as|be|bg|bho|bo|ca|ceb|cnr|cs|cy|da|de|doi|dv|ee|el|en|es|es-ar|es-mx|et|eu|fi|fr|ga|gl|gn|gu|haw|he|hi|hmn|hr|hu|hy|id|ig|ilo|is|it|ka|km|kn|ko-kr|kok|la|lb|lg|ln|lo|lt|lus|lv|mai|mg|mi|mk|ml|mn|mni|mr|ms|mt|mww|my|ne|nl|no|nso|ny|or|pa|pl|pt|pt-br|qu|ro|ro-md|ru|rw|sa|sd|si|sk|sl|sm|sn|sr|sv|sw|ta|te|th|tl|tr|ts|uk|vi|xh|yi|yo|zh-cn|zh-hk|zh-tw|zu,需新写
13,namicomi.com,63,T1,NamiComi,0,1,mihon,NamiComi,ar|bg|ca|cs|da|de|el|en|es|es-419|et|fa|fi|fil|fr|ga|he|hi|hr|hu|id|is|it|ja|ko|lt|ms|ne|nl|no|pa|pl|pt|pt-br|ru|sk|sl|sv|th|tr|uk|zh-hans|zh-hant,需新写
14,dm5.com,62,T1,,0,4,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋,zh,已有实现
15,komiic.com,62,T1,,0,4,aidoku|cimoc|mihon|venera,KOMIIC|Komiic|zh.komiic,zh,已有实现
16,mycomic.com,62,T1,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic,zh,已有实现
17,baozimh.com,56,T1,,0,3,aidoku|legado|mihon,zh.baozimanhua|包子漫画,zh,已有实现
18,happymh.com,56,T1,,0,3,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画,zh,已有实现
19,kanman.com,56,T1,,0,3,cimoc|legado|venera,ManHuaTai|看漫画|🎨 看漫画M|🎨 看漫画M #Haxc1107,zh,已有实现
20,manhuagui.com,56,T1,,0,3,mangareader|mihon|venera,mhgm|漫画柜,zh,已有实现
21,nhentai.net,56,T1,,0,3,aidoku|mangareader|venera,multi.nhentai|nh|nhentai,multi|zh,已有实现
22,rawkuma.net,56,T1,,0,3,aidoku|mihon|venera,Rawkuma|ja.rawkuma,ja|zh,已有实现
23,rumanhua2.com,56,T1,,0,3,cimoc|mihon|venera,RUMANHUA|如漫画,zh,已有实现
24,ykmh.net,56,T1,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版),zh,已有实现
25,baozimhcn.com,48,T1,,0,2,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm,zh,需新写
26,comic.mkzhan.com,48,T1,,0,2,cimoc|legado,MKZHAN|漫客栈|🎨 漫客栈|🎨 漫客栈🅰 ,zh,已有实现
27,dongmanmanhua.cn,48,T1,,0,2,mihon|venera,Dongman Manhua|咚漫,zh|zh-hans,已有实现
28,dumanwu1.com,48,T1,,0,2,cimoc|mihon,DUMANWU|读漫屋,zh,需新写
29,godamh.com,48,T1,,0,2,aidoku|cimoc,HaoManEight|zh.godamanga,zh,需新写
30,guazimanhua.com,48,T1,,0,2,mihon|venera,瓜子漫画,zh,已有实现
31,hitomi.la,48,T1,,0,2,aidoku|venera,hitomi.la|multi.hitomi,multi|zh,已有实现
32,laimanhua88.com,48,T1,,0,2,cimoc|venera,LAIMH|来漫画|来漫画（分流）,zh,已有实现
33,manben.com,48,T1,,0,2,cimoc|venera,HAOMAN6|漫本,zh,已有实现
34,mangadot.net,48,T1,,0,2,aidoku|mihon,MangaDot|multi.mangadotnet,ab|af|am|ar|az|be|bg|bn|bs|ca|ceb|cs|cv|da|de|el|en|eo|es|es-419|et|eu|fa|fi|fo|fr|ga|gl|gn|gu|ha|he|hi|hr|ht|hu|hy|id|ig|is|it|ja|jv|ka|kk|km|kn|ko|ku|ky|la|lb|lo|lt|lv|mg|mi|mk|ml|mn|mo|mr|ms|mt|multi|my|ne|nl|no|ny|pl|ps|pt|pt-br|rm|ro|ru|sd|sh|si|sk|sl|sm|sn|so|sq|sr|ss|st|sv|sw|ta|te|tg|th|ti|tk|tl|to|tr|uk|ur|uz|vi|yo|zh|zh-hant|zh-tw|zu,需新写
35,manhuadb.com,48,T1,,0,2,legado|mangareader,mhdb|✐ 漫画DB |✐ 漫画DB #Haxc1107|漫画大全,zh,需新写
36,manmanapp.com,48,T1,,0,2,cimoc|legado,MANMANMANHUA|㊣✐ 漫漫漫画 #一程1101|🎨 漫漫漫画 |🎨 漫漫漫画 #Haxc,zh,需新写
37,maofly.com,48,T1,,0,2,cimoc|mangareader,MH50|ManHuaCat|mhm,zh,需新写
38,mhua5.com,48,T1,,0,2,cimoc|mihon,MANHUAWU|漫画屋,zh,需新写
39,mkzhan.com,48,T2,,0,2,legado|venera,㊣✐ 漫客栈  #一程|漫客栈|🌵漫客栈🌵|🎨 漫客栈 #Haxc,zh,已有实现
40,vomicmh.com,48,T2,,0,2,cimoc|mihon,VOMIC2|vomic,zh,需新写
41,wmh1234.com,48,T2,,0,2,mihon|venera,漫画1234|漫画kan,zh,已有实现
42,xcomic.me,48,T2,,0,2,aidoku|mihon,XCOMIC|multi.xcomic,ab|af|all|am|ar|az|be|bg|bn|bs|ca|ceb|cs|cv|da|de|el|en|eo|es|es-419|et|eu|fa|fi|fil|fo|fr|ga|gl|gn|gu|ha|he|hi|hr|ht|hu|hy|id|ig|is|it|ja|jv|ka|kk|km|kn|ko|ku|ky|la|lb|lo|lt|lv|mg|mi|mk|ml|mn|mo|mr|ms|mt|multi|my|ne|nl|no|ny|other|pl|ps|pt|pt-br|rm|ro|ru|sd|sh|si|sk|sl|sm|sn|so|sq|sr|ss|st|sv|sw|ta|te|tg|th|ti|tk|to|tr|uk|ur|uz|vi|yo|zh|zh-hant|zu,需新写
43,zaimanhua.com,48,T2,,0,2,aidoku|cimoc,HAOMAN8|zh.zaimanhua,zh,需新写
44,zerobyw33.com,48,T2,,0,2,mihon|venera,zero搬运网,zh,已有实现
45,ymcdnyfqdapp.ikmmh.com,44,T2,,1,3,cimoc|mihon|venera,BODONGMH|爱看漫,zh,已有实现
46,100fanwo.com,38,T2,,0,1,cimoc,MH360,zh,需新写
47,18mh.org,38,T2,,0,1,mihon,18漫画,zh,已有实现
48,1kkk.com,38,T2,,0,1,venera,极速漫画,zh,已有实现
49,2026copy.com,38,T2,,0,1,cimoc,CopyManHua,zh,需新写
50,2cycomic.com,38,T2,,0,1,venera,次元漫画,zh,已有实现
51,311s.com,38,T2,,0,1,mihon,漫画社,zh,需新写
52,36mh.org,38,T2,,0,1,cimoc,QIMIAO,zh,需新写
53,4399manhua.com,38,T2,,0,1,venera,4399漫画网,zh,已有实现
54,51manga.com,38,T2,,0,1,venera,51漫画,zh,已有实现
55,77mh.nl,38,T2,,0,1,legado,🎨 新新漫画,zh,需新写
56,77mh.xyz,38,T2,,0,1,legado,🎨新新漫画-xyz,zh,需新写
57,7stary.com,38,T2,,0,1,cimoc,DUMH|DuManHua,zh,需新写
58,8comic.com,38,T2,,0,1,mihon,無限動漫,zh,需新写
59,8jj.com,38,T2,,0,1,legado,✐ 八极漫画 #Haxc|八极漫画,zh,需新写
60,90mh.org,38,T2,,0,1,cimoc,MANHUA90,zh,需新写
61,92mh.com,38,T2,,0,1,mihon,92漫画,zh,需新写
62,9comic.cn,38,T2,,0,1,legado,好看漫画,zh,已有实现
