生态,源名,站点域名,语言,NSFW,标识/包名
Aidoku（iOS）,zh.bakamh,bakamh.com,zh,,zh.bakamh
Aidoku（iOS）,zh.baozimanhua,baozimh.com,zh,,zh.baozimanhua
Aidoku（iOS）,zh.bilimanga,bilimanga.net,zh,,zh.bilimanga
Aidoku（iOS）,zh.boylove,,zh,,zh.boylove
Aidoku（iOS）,zh.copymanga,,zh,,zh.copymanga
Aidoku（iOS）,zh.dm5,dm5.com,zh,,zh.dm5
Aidoku（iOS）,zh.godamanga,godamh.com,zh,,zh.godamanga
Aidoku（iOS）,zh.happymh,happymh.com,zh,,zh.happymh
Aidoku（iOS）,zh.jmcomic,,zh,,zh.jmcomic
Aidoku（iOS）,zh.komiic,komiic.com,zh,,zh.komiic
Aidoku（iOS）,zh.mangabz,mangabz.com,zh,,zh.mangabz
Aidoku（iOS）,zh.manhuagui,,zh,,zh.manhuagui
Aidoku（iOS）,zh.mycomic,mycomic.com,zh,,zh.mycomic
Aidoku（iOS）,zh.noyacg,,zh,,zh.noyacg
Aidoku（iOS）,zh.picacomic,,zh,,zh.picacomic
Aidoku（iOS）,zh.relamanhua,,zh,,zh.relamanhua
Aidoku（iOS）,zh.rumanhua,,zh,,zh.rumanhua
Aidoku（iOS）,zh.se8,se8.us,zh,,zh.se8
Aidoku（iOS）,zh.wnacg,wnacg.com,zh,,zh.wnacg
Aidoku（iOS）,zh.zaimanhua,zaimanhua.com,zh,,zh.zaimanhua
Aidoku（iOS）,zh.zerobyw,,zh,,zh.zerobyw
