tier,rank,domain,subclass,latency_ms,speed,http_status,quality_score,quality_tier,effort,official,nsfw,ecosystem_count,ecosystems,source_names
tier1-primary,1,comic.mkzhan.com,B-reachable,58,fast,200,48,T1,existing,,0,2,cimoc|legado,MKZHAN|漫客栈|🎨 漫客栈|🎨 漫客栈🅰 
tier1-primary,2,mkzhan.com,B-reachable,110,fast,200,48,T2,existing,,0,2,legado|venera,㊣✐ 漫客栈  #一程|漫客栈|🌵漫客栈🌵|🎨 漫客栈 #Haxc
tier1-primary,3,manmanapp.com,B-reachable,140,fast,200,48,T1,to-build,,0,2,cimoc|legado,MANMANMANHUA|㊣✐ 漫漫漫画 #一程1101|🎨 漫漫漫画 |🎨 漫漫漫画 #Haxc
tier1-primary,4,manga.bilibili.com,B-reachable,268,fast,200,63,T1,to-build,Bilibili Comics (official),0,1,legado,哔哩哔哩漫画 #Haxc
tier1-primary,5,manhuadb.com,B-reachable,347,fast,200,48,T1,to-build,,0,2,legado|mangareader,mhdb|✐ 漫画DB |✐ 漫画DB #Haxc1107|漫画大全
tier1-primary,6,kanman.com,B-reachable,352,fast,200,56,T1,existing,,0,3,cimoc|legado|venera,ManHuaTai|看漫画|🎨 看漫画M|🎨 看漫画M #Haxc1107
tier1-primary,7,dongmanmanhua.cn,B-reachable,407,mid,200,48,T1,existing,,0,2,mihon|venera,Dongman Manhua|咚漫
tier1-primary,8,vomicmh.com,B-reachable,465,mid,200,48,T2,to-build,,0,2,cimoc|mihon,VOMIC2|vomic
tier1-primary,9,iqiyi.com,B-reachable,492,mid,200,73,T1,to-build,iQiyi Comics (official),0,2,legado|mihon,✐ ㊣爱奇艺漫画 #Haxc1107|爱奇艺叭嗒|🎨 爱奇艺漫画|🎨爱奇艺漫画 
tier1-primary,10,manben.com,B-reachable,509,mid,200,48,T1,existing,,0,2,cimoc|venera,HAOMAN6|漫本
tier1-primary,11,rumanhua2.com,B-reachable,539,mid,200,56,T1,existing,,0,3,cimoc|mihon|venera,RUMANHUA|如漫画
tier1-primary,12,dumanwu1.com,B-reachable,554,mid,200,48,T1,to-build,,0,2,cimoc|mihon,DUMANWU|读漫屋
tier1-primary,13,zaimanhua.com,B-reachable,625,mid,200,48,T2,to-build,,0,2,aidoku|cimoc,HAOMAN8|zh.zaimanhua
