rank,domain,subclass,latency_ms,speed,http_status,quality_score,quality_tier,effort,official,nsfw,ecosystem_count,ecosystems,source_names
2,mkzhan.com,B-reachable,110,fast,200,48,T2,existing,,0,2,legado|venera,㊣✐ 漫客栈  #一程|漫客栈|🌵漫客栈🌵|🎨 漫客栈 #Haxc
6,kanman.com,B-reachable,352,fast,200,56,T1,existing,,0,3,cimoc|legado|venera,ManHuaTai|看漫画|🎨 看漫画M|🎨 看漫画M #Haxc1107
7,dongmanmanhua.cn,B-reachable,407,mid,200,48,T1,existing,,0,2,mihon|venera,Dongman Manhua|咚漫
10,manben.com,B-reachable,509,mid,200,48,T1,existing,,0,2,cimoc|venera,HAOMAN6|漫本
11,rumanhua2.com,B-reachable,539,mid,200,56,T1,existing,,0,3,cimoc|mihon|venera,RUMANHUA|如漫画
14,dm5.com,B-reachable,850,mid,200,62,T1,existing,,0,4,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋
15,mangadex.org,B-reachable,880,mid,200,81,T1,existing,MangaDex (open licensed),0,3,aidoku|mihon|venera,MangaDex|multi.mangadex
16,wmh1234.com,B-reachable,978,mid,200,48,T2,existing,,0,2,mihon|venera,漫画1234|漫画kan
17,ymcdnyfqdapp.ikmmh.com,B-reachable,1020,mid,200,44,T2,existing,,1,3,cimoc|mihon|venera,BODONGMH|爱看漫
19,ac.qq.com,B-reachable,1120,mid,200,81,T1,existing,Tencent Comics (official),0,3,legado|mihon|venera,㊣✐ 腾讯漫画  #一程|腾讯动漫|腾讯动漫（正版）|腾讯漫画📱
21,rawkuma.net,B-reachable,1402,slow,200,56,T1,existing,,0,3,aidoku|mihon|venera,Rawkuma|ja.rawkuma
22,laimanhua88.com,B-reachable,1563,slow,200,48,T1,existing,,0,2,cimoc|venera,LAIMH|来漫画|来漫画（分流）
24,webtoons.com,B-reachable,1668,slow,200,73,T1,existing,LINE WEBTOON (official),0,2,mihon|venera,LINE WEBTOON|Webtoons.com
28,bilimanga.net,B-reachable,2128,slow,200,87,T1,existing,Bilibili Comics (official),0,4,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫
29,shonenjumpplus.com,B-reachable,3676,slow,200,81,T1,existing,Shonen Jump+ (official),0,3,aidoku|mihon|venera,Shonen Jump+|ja.shonenjumpplus|少年ジャンプ＋
30,guazimanhua.com,B-reachable,3801,slow,200,48,T1,existing,,0,2,mihon|venera,瓜子漫画
31,zerobyw33.com,B-reachable,4009,slow,200,48,T2,existing,,0,2,mihon|venera,zero搬运网
