rank,domain,subclass,latency_ms,speed,http_status,quality_score,quality_tier,effort,official,nsfw,ecosystem_count,ecosystems,source_names
1,comic.mkzhan.com,B-reachable,58,fast,200,48,T1,existing,,0,2,cimoc|legado,MKZHAN|漫客栈|🎨 漫客栈|🎨 漫客栈🅰 
3,manmanapp.com,B-reachable,140,fast,200,48,T1,to-build,,0,2,cimoc|legado,MANMANMANHUA|㊣✐ 漫漫漫画 #一程1101|🎨 漫漫漫画 |🎨 漫漫漫画 #Haxc
6,kanman.com,B-reachable,352,fast,200,56,T1,existing,,0,3,cimoc|legado|venera,ManHuaTai|看漫画|🎨 看漫画M|🎨 看漫画M #Haxc1107
8,vomicmh.com,B-reachable,465,mid,200,48,T2,to-build,,0,2,cimoc|mihon,VOMIC2|vomic
10,manben.com,B-reachable,509,mid,200,48,T1,existing,,0,2,cimoc|venera,HAOMAN6|漫本
11,rumanhua2.com,B-reachable,539,mid,200,56,T1,existing,,0,3,cimoc|mihon|venera,RUMANHUA|如漫画
12,dumanwu1.com,B-reachable,554,mid,200,48,T1,to-build,,0,2,cimoc|mihon,DUMANWU|读漫屋
13,zaimanhua.com,B-reachable,625,mid,200,48,T2,to-build,,0,2,aidoku|cimoc,HAOMAN8|zh.zaimanhua
14,dm5.com,B-reachable,850,mid,200,62,T1,existing,,0,4,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋
17,ymcdnyfqdapp.ikmmh.com,B-reachable,1020,mid,200,44,T2,existing,,1,3,cimoc|mihon|venera,BODONGMH|爱看漫
18,godamh.com,B-reachable,1056,mid,200,48,T1,to-build,,0,2,aidoku|cimoc,HaoManEight|zh.godamanga
20,maofly.com,B-reachable,1126,mid,200,48,T1,to-build,,0,2,cimoc|mangareader,MH50|ManHuaCat|mhm
22,laimanhua88.com,B-reachable,1563,slow,200,48,T1,existing,,0,2,cimoc|venera,LAIMH|来漫画|来漫画（分流）
25,liumanhua.com,B-reachable,1901,slow,200,36,T3,to-build,,1,2,cimoc|mihon,BMG|六漫画
28,bilimanga.net,B-reachable,2128,slow,200,87,T1,existing,Bilibili Comics (official),0,4,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫
