rank,domain,subclass,latency_ms,speed,http_status,quality_score,quality_tier,effort,official,nsfw,ecosystem_count,ecosystems,source_names
1,77mh.xyz,A-bot-blocked (alive),254,fast,503,38,T2,to-build,,0,1,legado,🎨新新漫画-xyz
2,globalcomix.com,A-bot-blocked (alive),375,fast,403,38,T2,to-build,,0,1,mihon,GlobalComix
3,mangadot.net,A-bot-blocked (alive),449,mid,403,48,T1,to-build,,0,2,aidoku|mihon,MangaDot|multi.mangadotnet
4,kagane.to,A-bot-blocked (alive),582,mid,403,38,T2,to-build,,0,1,mihon,Kagane
5,ykmh.net,A-bot-blocked (alive),812,mid,403,56,T1,existing,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版)
6,mycomic.com,A-bot-blocked (alive),834,mid,403,62,T1,existing,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic
7,xcomic.me,A-bot-blocked (alive),836,mid,403,48,T2,to-build,,0,2,aidoku|mihon,XCOMIC|multi.xcomic
8,mobileapp.comic-walker.com,A-bot-blocked (alive),979,mid,403,38,T3,existing,,0,1,venera,カドコミ
9,mhgui.com,A-bot-blocked (alive),1186,mid,403,38,T3,to-build,,0,1,mangareader,mhg
10,baozimhcn.com,A-bot-blocked (alive),1325,slow,403,48,T1,to-build,,0,2,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm
11,8comic.com,A-bot-blocked (alive),1455,slow,403,38,T2,to-build,,0,1,mihon,無限動漫
12,mh160mh.com,A-bot-blocked (alive),1532,slow,403,38,T3,to-build,,0,1,cimoc,MH160CC
13,baozimh.com,A-bot-blocked (alive),5791,slow,403,56,T1,existing,,0,3,aidoku|legado|mihon,zh.baozimanhua|包子漫画
14,api.iqhmh.com,C-proxy-or-gateway-error (retest),1,fast,502,38,T2,to-build,,0,1,legado,✐ 趣话漫画🅰💰 #Haxc|㊣✐ 趣话漫画🅰 #Haxc|🎨 趣话漫画
15,dashumanhua.com,C-proxy-or-gateway-error (retest),1,fast,502,38,T2,to-build,,0,1,cimoc,DASHUMANHUA
16,mhkan.com,C-proxy-or-gateway-error (retest),1,fast,502,38,T3,to-build,,0,1,legado,漫画看|🎨 漫画看
17,qiremanhua.com,C-proxy-or-gateway-error (retest),1,fast,502,38,T3,to-build,,0,1,legado,✐ ㊣奇热漫画📱 #Haxc1107|奇热漫画📱💰
18,hanmandq.com,C-proxy-or-gateway-error (retest),2,fast,502,38,T2,to-build,,0,1,legado,韩漫大全
19,yidan9.club,C-proxy-or-gateway-error (retest),2,fast,502,26,T3,to-build,,1,1,mihon,一耽女孩
20,happymh.com,C-proxy-or-gateway-error (retest),11,fast,502,56,T1,existing,,0,3,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画
21,mhua5.com,C-proxy-or-gateway-error (retest),11,fast,502,48,T1,to-build,,0,2,cimoc|mihon,MANHUAWU|漫画屋
22,gufengmh.com,C-proxy-or-gateway-error (retest),11,fast,502,38,T2,to-build,,0,1,cimoc,GuFengManHua
23,qimanwu.org,C-proxy-or-gateway-error (retest),12,fast,502,38,T3,to-build,,0,1,cimoc,QIMANHUA
