档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
2,mkzhan.com,B-正常可达,110,快,200,48,T2,已有实现,,0,2,legado|venera,㊣✐ 漫客栈  #一程|漫客栈|🌵漫客栈🌵|🎨 漫客栈 #Haxc
6,kanman.com,B-正常可达,352,快,200,56,T1,已有实现,,0,3,cimoc|legado|venera,ManHuaTai|看漫画|🎨 看漫画M|🎨 看漫画M #Haxc1107
7,dongmanmanhua.cn,B-正常可达,407,中,200,48,T1,已有实现,,0,2,mihon|venera,Dongman Manhua|咚漫
10,manben.com,B-正常可达,509,中,200,48,T1,已有实现,,0,2,cimoc|venera,HAOMAN6|漫本
11,rumanhua2.com,B-正常可达,539,中,200,56,T1,已有实现,,0,3,cimoc|mihon|venera,RUMANHUA|如漫画
14,dm5.com,B-正常可达,850,中,200,62,T1,已有实现,,0,4,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋
15,mangadex.org,B-正常可达,880,中,200,81,T1,已有实现,MangaDex（开放授权）,0,3,aidoku|mihon|venera,MangaDex|multi.mangadex
16,wmh1234.com,B-正常可达,978,中,200,48,T2,已有实现,,0,2,mihon|venera,漫画1234|漫画kan
17,ymcdnyfqdapp.ikmmh.com,B-正常可达,1020,中,200,44,T2,已有实现,,1,3,cimoc|mihon|venera,BODONGMH|爱看漫
19,ac.qq.com,B-正常可达,1120,中,200,81,T1,已有实现,腾讯动漫（正版）,0,3,legado|mihon|venera,㊣✐ 腾讯漫画  #一程|腾讯动漫|腾讯动漫（正版）|腾讯漫画📱
21,rawkuma.net,B-正常可达,1402,慢,200,56,T1,已有实现,,0,3,aidoku|mihon|venera,Rawkuma|ja.rawkuma
22,laimanhua88.com,B-正常可达,1563,慢,200,48,T1,已有实现,,0,2,cimoc|venera,LAIMH|来漫画|来漫画（分流）
24,webtoons.com,B-正常可达,1668,慢,200,73,T1,已有实现,LINE WEBTOON（正版）,0,2,mihon|venera,LINE WEBTOON|Webtoons.com
28,bilimanga.net,B-正常可达,2128,慢,200,87,T1,已有实现,哔哩漫画（正版）,0,4,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫
29,shonenjumpplus.com,B-正常可达,3676,慢,200,81,T1,已有实现,少年Jump+（正版）,0,3,aidoku|mihon|venera,Shonen Jump+|ja.shonenjumpplus|少年ジャンプ＋
30,guazimanhua.com,B-正常可达,3801,慢,200,48,T1,已有实现,,0,2,mihon|venera,瓜子漫画
31,zerobyw33.com,B-正常可达,4009,慢,200,48,T2,已有实现,,0,2,mihon|venera,zero搬运网
