档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
1,comic.mkzhan.com,B-正常可达,58,快,200,48,T1,已有实现,,0,2,cimoc|legado,MKZHAN|漫客栈|🎨 漫客栈|🎨 漫客栈🅰 
3,manmanapp.com,B-正常可达,140,快,200,48,T1,需新写,,0,2,cimoc|legado,MANMANMANHUA|㊣✐ 漫漫漫画 #一程1101|🎨 漫漫漫画 |🎨 漫漫漫画 #Haxc
6,kanman.com,B-正常可达,352,快,200,56,T1,已有实现,,0,3,cimoc|legado|venera,ManHuaTai|看漫画|🎨 看漫画M|🎨 看漫画M #Haxc1107
8,vomicmh.com,B-正常可达,465,中,200,48,T2,需新写,,0,2,cimoc|mihon,VOMIC2|vomic
10,manben.com,B-正常可达,509,中,200,48,T1,已有实现,,0,2,cimoc|venera,HAOMAN6|漫本
11,rumanhua2.com,B-正常可达,539,中,200,56,T1,已有实现,,0,3,cimoc|mihon|venera,RUMANHUA|如漫画
12,dumanwu1.com,B-正常可达,554,中,200,48,T1,需新写,,0,2,cimoc|mihon,DUMANWU|读漫屋
13,zaimanhua.com,B-正常可达,625,中,200,48,T2,需新写,,0,2,aidoku|cimoc,HAOMAN8|zh.zaimanhua
14,dm5.com,B-正常可达,850,中,200,62,T1,已有实现,,0,4,aidoku|cimoc|mihon|venera,DongManWu|zh.dm5|动漫屋
17,ymcdnyfqdapp.ikmmh.com,B-正常可达,1020,中,200,44,T2,已有实现,,1,3,cimoc|mihon|venera,BODONGMH|爱看漫
18,godamh.com,B-正常可达,1056,中,200,48,T1,需新写,,0,2,aidoku|cimoc,HaoManEight|zh.godamanga
20,maofly.com,B-正常可达,1126,中,200,48,T1,需新写,,0,2,cimoc|mangareader,MH50|ManHuaCat|mhm
22,laimanhua88.com,B-正常可达,1563,慢,200,48,T1,已有实现,,0,2,cimoc|venera,LAIMH|来漫画|来漫画（分流）
25,liumanhua.com,B-正常可达,1901,慢,200,36,T3,需新写,,1,2,cimoc|mihon,BMG|六漫画
28,bilimanga.net,B-正常可达,2128,慢,200,87,T1,已有实现,哔哩漫画（正版）,0,4,aidoku|cimoc|mihon|venera,BILIMANHUA|zh.bilimanga|哔哩漫画|嗶哩漫畫
