档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
1,77mh.xyz,A-反爬拦截(活着),254,快,503,38,T2,需新写,,0,1,legado,🎨新新漫画-xyz
2,globalcomix.com,A-反爬拦截(活着),375,快,403,38,T2,需新写,,0,1,mihon,GlobalComix
3,mangadot.net,A-反爬拦截(活着),449,中,403,48,T1,需新写,,0,2,aidoku|mihon,MangaDot|multi.mangadotnet
4,kagane.to,A-反爬拦截(活着),582,中,403,38,T2,需新写,,0,1,mihon,Kagane
5,ykmh.net,A-反爬拦截(活着),812,中,403,56,T1,已有实现,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版)
6,mycomic.com,A-反爬拦截(活着),834,中,403,62,T1,已有实现,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic
7,xcomic.me,A-反爬拦截(活着),836,中,403,48,T2,需新写,,0,2,aidoku|mihon,XCOMIC|multi.xcomic
8,mobileapp.comic-walker.com,A-反爬拦截(活着),979,中,403,38,T3,已有实现,,0,1,venera,カドコミ
9,mhgui.com,A-反爬拦截(活着),1186,中,403,38,T3,需新写,,0,1,mangareader,mhg
10,baozimhcn.com,A-反爬拦截(活着),1325,慢,403,48,T1,需新写,,0,2,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm
11,8comic.com,A-反爬拦截(活着),1455,慢,403,38,T2,需新写,,0,1,mihon,無限動漫
12,mh160mh.com,A-反爬拦截(活着),1532,慢,403,38,T3,需新写,,0,1,cimoc,MH160CC
13,baozimh.com,A-反爬拦截(活着),5791,慢,403,56,T1,已有实现,,0,3,aidoku|legado|mihon,zh.baozimanhua|包子漫画
14,api.iqhmh.com,C-代理/网关错误(待复测),1,快,502,38,T2,需新写,,0,1,legado,✐ 趣话漫画🅰💰 #Haxc|㊣✐ 趣话漫画🅰 #Haxc|🎨 趣话漫画
15,dashumanhua.com,C-代理/网关错误(待复测),1,快,502,38,T2,需新写,,0,1,cimoc,DASHUMANHUA
16,mhkan.com,C-代理/网关错误(待复测),1,快,502,38,T3,需新写,,0,1,legado,漫画看|🎨 漫画看
17,qiremanhua.com,C-代理/网关错误(待复测),1,快,502,38,T3,需新写,,0,1,legado,✐ ㊣奇热漫画📱 #Haxc1107|奇热漫画📱💰
18,hanmandq.com,C-代理/网关错误(待复测),2,快,502,38,T2,需新写,,0,1,legado,韩漫大全
19,yidan9.club,C-代理/网关错误(待复测),2,快,502,26,T3,需新写,,1,1,mihon,一耽女孩
20,happymh.com,C-代理/网关错误(待复测),11,快,502,56,T1,已有实现,,0,3,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画
21,mhua5.com,C-代理/网关错误(待复测),11,快,502,48,T1,需新写,,0,2,cimoc|mihon,MANHUAWU|漫画屋
22,gufengmh.com,C-代理/网关错误(待复测),11,快,502,38,T2,需新写,,0,1,cimoc,GuFengManHua
23,qimanwu.org,C-代理/网关错误(待复测),12,快,502,38,T3,需新写,,0,1,cimoc,QIMANHUA
24,wmanhua.com,C-代理/网关错误(待复测),22,快,502,38,T3,已有实现,,0,1,venera,W漫画
25,uuhanman.com,C-代理/网关错误(待复测),24,快,502,38,T3,需新写,,0,1,legado,🎨 UU韩漫
26,100fanwo.com,C-代理/网关错误(待复测),35,快,502,38,T2,需新写,,0,1,cimoc,MH360
27,zhuzhumh.com,C-代理/网关错误(待复测),469,中,521,38,T3,需新写,,0,1,cimoc,BaiManGu
28,hentaihand.com,C-代理/网关错误(待复测),10022,慢,502,26,T3,需新写,,1,1,mihon,HentaiHand
29,manhuagui.com,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,mangareader|mihon|venera,mhgm|漫画柜
30,nhentai.net,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,aidoku|mangareader|venera,multi.nhentai|nh|nhentai
31,hitomi.la,C-超时(待复测),0,,0,48,T1,已有实现,,0,2,aidoku|venera,hitomi.la|multi.hitomi
32,18mh.org,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,mihon,18漫画
33,2026copy.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,CopyManHua
34,amcomic.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,legado,一个漫画
35,api.acg.gd,C-超时(待复测),0,,0,38,T2,需新写,,0,1,legado,✐ 🔥亲亲漫画 #Haxc|🎨亲亲漫画 #Haxc🔞|🎨亲亲漫画🔞
36,apifans.dushimh.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,legado,粉丝漫画
37,app-api.pixiv.net,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,Pixiv
38,biqu8.xyz,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,BIQUGE
39,chuixue.net,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,CHUIXUEMH
40,colamanga.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,CoCoManHua
41,comic.pixiv.net,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,mihon,Pixivコミック
42,copymanga.com,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,legado,🎨 拷贝漫画➠移动不可用
43,demo.kavita.org,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,Kavita
44,e-hentai.org,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,ehentai
45,hentaiclub.net,C-超时(待复测),0,,0,38,T2,需新写,,0,1,mihon,绅士会所
46,ikmmh.com,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,爱看漫
47,imitui.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,MITUI
48,manga2026.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,热辣漫画
49,mangabz.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
50,mangacopy.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mangareader,copy
51,mangaz.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mihon,マンガ図書館Z
52,manwa.me,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mihon,漫蛙
53,moxidongman.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,legado,MOXI动漫(8本)™
54,mwuu.cc,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,漫蛙吧
55,mxqf.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,cimoc,BOLEFU|BoLeFu
56,mxshm.top,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,漫小肆
57,picaapi.picacomic.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,Picacg
58,picacomic.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,mangareader,pica
