档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
2,globalcomix.com,A-反爬拦截(活着),375,快,403,38,T2,需新写,,0,1,mihon,GlobalComix
3,mangadot.net,A-反爬拦截(活着),449,中,403,48,T1,需新写,,0,2,aidoku|mihon,MangaDot|multi.mangadotnet
4,kagane.to,A-反爬拦截(活着),582,中,403,38,T2,需新写,,0,1,mihon,Kagane
5,ykmh.net,A-反爬拦截(活着),812,中,403,56,T1,已有实现,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版)
6,mycomic.com,A-反爬拦截(活着),834,中,403,62,T1,已有实现,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic
7,xcomic.me,A-反爬拦截(活着),836,中,403,48,T2,需新写,,0,2,aidoku|mihon,XCOMIC|multi.xcomic
11,8comic.com,A-反爬拦截(活着),1455,慢,403,38,T2,需新写,,0,1,mihon,無限動漫
13,baozimh.com,A-反爬拦截(活着),5791,慢,403,56,T1,已有实现,,0,3,aidoku|legado|mihon,zh.baozimanhua|包子漫画
19,yidan9.club,C-代理/网关错误(待复测),2,快,502,26,T3,需新写,,1,1,mihon,一耽女孩
21,mhua5.com,C-代理/网关错误(待复测),11,快,502,48,T1,需新写,,0,2,cimoc|mihon,MANHUAWU|漫画屋
28,hentaihand.com,C-代理/网关错误(待复测),10022,慢,502,26,T3,需新写,,1,1,mihon,HentaiHand
29,manhuagui.com,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,mangareader|mihon|venera,mhgm|漫画柜
32,18mh.org,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,mihon,18漫画
41,comic.pixiv.net,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,mihon,Pixivコミック
45,hentaiclub.net,C-超时(待复测),0,,0,38,T2,需新写,,0,1,mihon,绅士会所
49,mangabz.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
51,mangaz.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mihon,マンガ図書館Z
52,manwa.me,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mihon,漫蛙
59,pixiv.net,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,mihon,Pixiv
60,toptoon.net,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mihon,TOPTOON頂通
63,18comic.vip,C-超时(待复测),0,,0,36,T3,已有实现,,1,2,mangareader|mihon,jmc|禁漫天堂
64,cosplaytele.com,C-超时(待复测),0,,0,36,T3,已有实现,,1,2,mihon|venera,CosplayTele
65,jcomic.net,C-超时(待复测),0,,0,36,T3,已有实现,,1,2,mihon|venera,JComic|jcomic.net
66,rouman5.com,C-超时(待复测),0,,0,36,T3,需新写,,1,2,mangareader|mihon,rm5|肉漫屋
67,akuma.moe,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,Akuma
68,asmhentai.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,AsmHentai
69,boylove.cc,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,香香腐宅
70,cartoon18.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,Cartoon18
71,en.xchina.co,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,小黄书
72,es.xchina.co,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,小黄书
73,global.toomics.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,Toomics (Only free chapters)
74,hanimeone.me,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,Hanime1.me
75,hanman18.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,HANMAN18
76,hentaifox.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,HentaiFox
77,kr.xchina.co,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,小黄书
78,luscious.net,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,Luscious
79,manhuabika.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,哔咔漫画
80,myreadingmanga.info,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,MyReadingManga
81,nhentai.com,C-超时(待复测),0,,0,26,T3,已有实现,,1,1,mihon,nHentai.com (unoriginal)
82,nhentai.to,C-超时(待复测),0,,0,26,T3,已有实现,,1,1,mihon,NHentai.to
83,nhentai.xxx,C-超时(待复测),0,,0,26,T3,已有实现,,1,1,mihon,NHentai.xxx
84,pornpics.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,PornPics
85,simply-hentai.com,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,Simply Hentai
86,tw.xchina.co,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,小黄书
87,xchina.co,C-超时(待复测),0,,0,26,T3,需新写,,1,1,mihon,小黄书
91,uhkvqrxmcapgtpspglrp.moedot.net,D-HTTP错误(可能改版),317,快,404,38,T3,需新写,,0,1,mihon,花火漫画
97,api.noyteam.online,D-HTTP错误(可能改版),1550,慢,404,38,T2,需新写,,0,1,mihon,NoyAcg
102,3hentai.net,E-其他失败,0,,0,26,T3,需新写,,1,1,mihon,3Hentai
