档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
1,77mh.xyz,A-反爬拦截(活着),254,快,503,38,T2,需新写,,0,1,legado,🎨新新漫画-xyz
13,baozimh.com,A-反爬拦截(活着),5791,慢,403,56,T1,已有实现,,0,3,aidoku|legado|mihon,zh.baozimanhua|包子漫画
14,api.iqhmh.com,C-代理/网关错误(待复测),1,快,502,38,T2,需新写,,0,1,legado,✐ 趣话漫画🅰💰 #Haxc|㊣✐ 趣话漫画🅰 #Haxc|🎨 趣话漫画
16,mhkan.com,C-代理/网关错误(待复测),1,快,502,38,T3,需新写,,0,1,legado,漫画看|🎨 漫画看
17,qiremanhua.com,C-代理/网关错误(待复测),1,快,502,38,T3,需新写,,0,1,legado,✐ ㊣奇热漫画📱 #Haxc1107|奇热漫画📱💰
18,hanmandq.com,C-代理/网关错误(待复测),2,快,502,38,T2,需新写,,0,1,legado,韩漫大全
25,uuhanman.com,C-代理/网关错误(待复测),24,快,502,38,T3,需新写,,0,1,legado,🎨 UU韩漫
34,amcomic.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,legado,一个漫画
35,api.acg.gd,C-超时(待复测),0,,0,38,T2,需新写,,0,1,legado,✐ 🔥亲亲漫画 #Haxc|🎨亲亲漫画 #Haxc🔞|🎨亲亲漫画🔞
36,apifans.dushimh.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,legado,粉丝漫画
42,copymanga.com,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,legado,🎨 拷贝漫画➠移动不可用
53,moxidongman.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,legado,MOXI动漫(8本)™
90,newsmiss.lofter.com,D-HTTP错误(可能改版),244,快,404,38,T3,需新写,,0,1,legado,🗒 天花板网
95,77mh.nl,D-HTTP错误(可能改版),538,中,404,38,T2,需新写,,0,1,legado,🎨 新新漫画
98,sixmh7.com,E-其他失败,0,,0,38,T3,需新写,,0,1,legado,🎨 六漫画
99,uaa.com,E-其他失败,0,,0,38,T3,需新写,,0,1,legado,🎨UAA漫画
101,ydan.cc,E-其他失败,0,,0,38,T3,需新写,,0,1,legado,🗂🙈一耽漫画🅰
