档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
5,ykmh.net,A-反爬拦截(活着),812,中,403,56,T1,已有实现,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版)
6,mycomic.com,A-反爬拦截(活着),834,中,403,62,T1,已有实现,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic
8,mobileapp.comic-walker.com,A-反爬拦截(活着),979,中,403,38,T3,已有实现,,0,1,venera,カドコミ
20,happymh.com,C-代理/网关错误(待复测),11,快,502,56,T1,已有实现,,0,3,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画
24,wmanhua.com,C-代理/网关错误(待复测),22,快,502,38,T3,已有实现,,0,1,venera,W漫画
29,manhuagui.com,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,mangareader|mihon|venera,mhgm|漫画柜
30,nhentai.net,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,aidoku|mangareader|venera,multi.nhentai|nh|nhentai
31,hitomi.la,C-超时(待复测),0,,0,48,T1,已有实现,,0,2,aidoku|venera,hitomi.la|multi.hitomi
37,app-api.pixiv.net,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,Pixiv
43,demo.kavita.org,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,Kavita
44,e-hentai.org,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,ehentai
46,ikmmh.com,C-超时(待复测),0,,0,38,T2,已有实现,,0,1,venera,爱看漫
48,manga2026.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,热辣漫画
49,mangabz.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
54,mwuu.cc,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,漫蛙吧
56,mxshm.top,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,漫小肆
57,picaapi.picacomic.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,venera,Picacg
64,cosplaytele.com,C-超时(待复测),0,,0,36,T3,已有实现,,1,2,mihon|venera,CosplayTele
65,jcomic.net,C-超时(待复测),0,,0,36,T3,已有实现,,1,2,mihon|venera,JComic|jcomic.net
88,marketing.aiacgn.com,D-HTTP错误(可能改版),35,快,404,38,T3,已有实现,,0,1,venera,拷贝漫画|拷贝漫画(多账号)
92,dongman.la,D-HTTP错误(可能改版),431,中,409,38,T2,已有实现,,0,1,venera,动漫啦
100,wn01.link,E-其他失败,0,,0,38,T3,已有实现,,0,1,venera,紳士漫畫
