档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
5,ykmh.net,A-反爬拦截(活着),812,中,403,56,T1,已有实现,,0,3,cimoc|mihon|venera,YouKuManHua|优酷漫画|优酷漫画 (修复版)
6,mycomic.com,A-反爬拦截(活着),834,中,403,62,T1,已有实现,,0,4,aidoku|cimoc|mihon|venera,MYCOMIC|MyComic|zh.mycomic
10,baozimhcn.com,A-反爬拦截(活着),1325,慢,403,48,T1,需新写,,0,2,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm
12,mh160mh.com,A-反爬拦截(活着),1532,慢,403,38,T3,需新写,,0,1,cimoc,MH160CC
15,dashumanhua.com,C-代理/网关错误(待复测),1,快,502,38,T2,需新写,,0,1,cimoc,DASHUMANHUA
21,mhua5.com,C-代理/网关错误(待复测),11,快,502,48,T1,需新写,,0,2,cimoc|mihon,MANHUAWU|漫画屋
22,gufengmh.com,C-代理/网关错误(待复测),11,快,502,38,T2,需新写,,0,1,cimoc,GuFengManHua
23,qimanwu.org,C-代理/网关错误(待复测),12,快,502,38,T3,需新写,,0,1,cimoc,QIMANHUA
26,100fanwo.com,C-代理/网关错误(待复测),35,快,502,38,T2,需新写,,0,1,cimoc,MH360
27,zhuzhumh.com,C-代理/网关错误(待复测),469,中,521,38,T3,需新写,,0,1,cimoc,BaiManGu
33,2026copy.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,CopyManHua
38,biqu8.xyz,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,BIQUGE
39,chuixue.net,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,CHUIXUEMH
40,colamanga.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,CoCoManHua
47,imitui.com,C-超时(待复测),0,,0,38,T2,需新写,,0,1,cimoc,MITUI
49,mangabz.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
55,mxqf.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,cimoc,BOLEFU|BoLeFu
62,xmanhua.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,cimoc,XMANHUA
89,bud.iqiyi.com,D-HTTP错误(可能改版),120,快,404,38,T2,需新写,,0,1,cimoc,IQIYI
93,so.77mh.nl,D-HTTP错误(可能改版),456,中,404,38,T3,需新写,,0,1,cimoc,XINXINMH|XinXinManHua
94,dmzj.com,D-HTTP错误(可能改版),490,中,404,63,T1,需新写,动漫之家,0,1,cimoc,DongManZhiJia
