档内排名,站点域名,子类,延迟ms,速度,HTTP,质量分,质量层,适配工作量,官方正版,NSFW,收录生态数,收录生态,各生态源名
9,mhgui.com,A-反爬拦截(活着),1186,中,403,38,T3,需新写,,0,1,mangareader,mhg
10,baozimhcn.com,A-反爬拦截(活着),1325,慢,403,48,T1,需新写,,0,2,cimoc|mangareader,BAOZIMH|BaoziManHua|bzm
20,happymh.com,C-代理/网关错误(待复测),11,快,502,56,T1,已有实现,,0,3,aidoku|mangareader|venera,happy|zh.happymh|嗨皮漫画
29,manhuagui.com,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,mangareader|mihon|venera,mhgm|漫画柜
30,nhentai.net,C-超时(待复测),0,,0,56,T1,已有实现,,0,3,aidoku|mangareader|venera,multi.nhentai|nh|nhentai
49,mangabz.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,5,aidoku|cimoc|mangareader|mihon|venera,MangaBZManHua|Mangabz|mbz|zh.mangabz
50,mangacopy.com,C-超时(待复测),0,,0,38,T3,需新写,,0,1,mangareader,copy
58,picacomic.com,C-超时(待复测),0,,0,38,T3,已有实现,,0,1,mangareader,pica
63,18comic.vip,C-超时(待复测),0,,0,36,T3,已有实现,,1,2,mangareader|mihon,jmc|禁漫天堂
66,rouman5.com,C-超时(待复测),0,,0,36,T3,需新写,,1,2,mangareader|mihon,rm5|肉漫屋
96,idmzj.com,D-HTTP错误(可能改版),1003,中,404,63,T1,需新写,动漫之家,0,1,mangareader,dmzj
